"date","site","name","x","y","z","species","observer","note","id","site_id"
"23/02/2022","jollyroger","tag_1",45.215081,-12.890167,2.3,"Acropora humilis","FG",NA,"1","jr"
"23/02/2022","jollyroger","tag_15",45.215068,-12.890164,1.9,"Favia sp.","AC","unsure","15","jr"
"23/02/2022","jollyroger","tag_11",45.215066,-12.890164,2.2,"Platygyra daedalea","AC",NA,"11","jr"
"23/02/2022","jollyroger","tag_2",45.215081,-12.890158,3.9,"Acropora humilis","FG",NA,"2","jr"
"23/02/2022","jollyroger","tag_3",45.215089,-12.890158,3.9,"Acropora humilis","FG",NA,"3","jr"
"23/02/2022","jollyroger","tag_7",45.215094,-12.890164,3,"Echinopora gemmacea","SB",NA,"7","jr"
"23/02/2022","jollyroger","tag_10",45.215122,-12.890174,3.1,"Echinopora gemmacea","SB",NA,"10","jr"
"23/02/2022","jollyroger","tag_14",45.215112,-12.890185,2.3,"Favia sp.","AC","unsure","14","jr"
"23/02/2022","jollyroger","tag_13",45.215097,-12.890127,1.6,"Platygyra daedalea","AC",NA,"13","jr"
"24/02/2022","ngouja","tag_16",45.085309,-12.965028,3,"Echinopora gemmacea","AC",NA,"16","ng"
"24/02/2022","ngouja","tag_6",45.085322,-12.965116,6.2,"Porites nigrescens","SB",NA,"6","ng"
"24/02/2022","ngouja","tag_9",45.085297,-12.965078,4.4,"Porites nigrescens","SB",NA,"9","ng"
"24/02/2022","ngouja","tag_8",45.085322,-12.965073,4.2,"Porites nigrescens","SB",NA,"8","ng"
"24/02/2022","ngouja","tag_5",45.085317,-12.965074,4.5,"Isopora palifera","FG",NA,"5","ng"
"24/02/2022","ngouja","tag_15",45.085298,-12.965079,5,"Porites lutea","AC",NA,"15","ng"
"24/02/2022","ngouja","tag_20",45.0853,-12.965068,5.3,"Echinopora gemmacea","AC",NA,"20","ng"
"24/02/2022","ngouja","tag_11",45.08526,-12.965038,3.6,"Porites lutea","AC",NA,"11","ng"
"24/02/2022","ngouja","tag_12",45.085251,-12.965058,4.3,"Porites lutea","AC",NA,"12","ng"
"24/02/2022","ngouja","tag_4",45.085267,-12.965046,3.9,"Isopora palifera","FG",NA,"4","ng"
"24/02/2022","ngouja","tag_18",45.085264,-12.965039,3.7,"Echinopra gemmacea","AC",NA,"18","ng"
"24/02/2022","ngouja","tag_17",45.085287,-12.96505,3.6,"Echinopra gemmacea","AC",NA,"17","ng"
"24/02/2022","ngouja","tag_7",45.085313,-12.965049,3.9,"Porites nigrescens","SB",NA,"7","ng"
"24/02/2022","ngouja","tag_13",45.085266,-12.965008,4.8,"Porites lutea","AC",NA,"13","ng"
"24/02/2022","ngouja","tag_20",45.085298,-12.964999,4.2,"Isopora palifera","FG",NA,"20","ng"
"24/02/2022","ngouja","tag_3",45.085287,-12.965003,3.8,"Isopora palifera","FG",NA,"3","ng"
"24/02/2022","ngouja","tag_1",45.085333,-12.965041,4.1,"Isopora palifera","FG",NA,"1","ng"
"24/02/2022","ngouja","tag_14",45.085296,-12.965011,4,"Porites lutea","AC",NA,"14","ng"
"24/02/2022","ngouja","tag_10",45.085237,-12.965006,5.6,"Porites nigrescens","SB",NA,"10","ng"
"24/02/2022","ngouja","tag_19",45.085358,-12.965077,4,"Echinopora gemmacea","AC",NA,"19","ng"
