"model_path","name","description","licence","uri","uid","type","site","file"
"ae1_022022_12.zip","Porites lutea","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte","by-nc-sa","https://api.sketchfab.com/v3/models/a662c3bce4244ea29892b291be52d8e3","a662c3bce4244ea29892b291be52d8e3","stress-tolerant","airport","ae1_022022_12"
"ae1_022022_13.zip","Porites lutea","This stress-tolerant coral colony is monitored at the ""airport"" site of Mayotte","by-nc-sa","https://api.sketchfab.com/v3/models/1a2fd5ff5ffe4a8cb8a326b9d0d54ab3","1a2fd5ff5ffe4a8cb8a326b9d0d54ab3","stress-tolerant","airport","ae1_022022_13"
